delta_t_ps,tdc_code,phf_est_norm,phf_ideal
0.000000,0,0.000000,0.000000
5.000000,0,0.000000,0.011999
10.000000,0,0.000000,0.023998
15.000000,0,0.000000,0.035997
20.000000,1,0.099991,0.047996
25.000000,1,0.099991,0.059995
30.000000,1,0.099991,0.071994
35.000000,1,0.099991,0.083993
40.000000,1,0.099991,0.095992
45.000000,1,0.099991,0.107991
50.000000,1,0.099991,0.119990
55.000000,1,0.099991,0.131989
60.000000,2,0.199997,0.143988
65.000000,2,0.199997,0.155988
70.000000,2,0.199997,0.167987
75.000000,2,0.199997,0.179986
80.000000,2,0.199997,0.191985
85.000000,2,0.199997,0.203984
90.000000,2,0.199997,0.215983
95.000000,2,0.199997,0.227982
100.000000,3,0.299988,0.239981
105.000000,3,0.299988,0.251980
110.000000,3,0.299988,0.263979
115.000000,3,0.299988,0.275978
120.000000,3,0.299988,0.287977
125.000000,3,0.299988,0.299976
130.000000,3,0.299988,0.311975
135.000000,3,0.299988,0.323974
140.000000,4,0.399994,0.335973
145.000000,4,0.399994,0.347972
150.000000,4,0.399994,0.359971
155.000000,4,0.399994,0.371970
160.000000,4,0.399994,0.383969
165.000000,4,0.399994,0.395968
170.000000,4,0.399994,0.407967
175.000000,4,0.399994,0.419966
180.000000,5,0.500000,0.431965
185.000000,5,0.500000,0.443964
190.000000,5,0.500000,0.455964
195.000000,5,0.500000,0.467963
200.000000,5,0.500000,0.479962
205.000000,5,0.500000,0.491961
210.000000,5,0.500000,0.503960
215.000000,5,0.500000,0.515959
220.000000,6,0.599991,0.527958
225.000000,6,0.599991,0.539957
230.000000,6,0.599991,0.551956
235.000000,6,0.599991,0.563955
240.000000,6,0.599991,0.575954
245.000000,6,0.599991,0.587953
250.000000,6,0.599991,0.599952
255.000000,6,0.599991,0.611951
260.000000,7,0.699997,0.623950
265.000000,7,0.699997,0.635949
270.000000,7,0.699997,0.647948
275.000000,7,0.699997,0.659947
280.000000,7,0.699997,0.671946
285.000000,7,0.699997,0.683945
290.000000,7,0.699997,0.695944
295.000000,7,0.699997,0.707943
300.000000,8,0.799988,0.719942
305.000000,8,0.799988,0.731941
310.000000,8,0.799988,0.743940
315.000000,8,0.799988,0.755940
320.000000,8,0.799988,0.767939
325.000000,8,0.799988,0.779938
330.000000,8,0.799988,0.791937
335.000000,8,0.799988,0.803936
340.000000,9,0.899994,0.815935
345.000000,9,0.899994,0.827934
350.000000,9,0.899994,0.839933
355.000000,9,0.899994,0.851932
360.000000,9,0.899994,0.863931
365.000000,9,0.899994,0.875930
370.000000,9,0.899994,0.887929
375.000000,9,0.899994,0.899928
380.000000,10,0.000000,0.911927
385.000000,10,0.000000,0.923926
390.000000,10,0.000000,0.935925
395.000000,10,0.000000,0.947924
400.000000,10,0.000000,0.959923
